0:0:0:0:0:0:0:1 - - [28/Jan/2019:18:41:24 +0800] "GET /static/js/plugins/metisMenu/jquery.metisMenu.js HTTP/1.1" 200 3265 3
0:0:0:0:0:0:0:1 - - [28/Jan/2019:18:41:24 +0800] "GET /static/css/plugins/blueimp/css/blueimp-gallery.min.css HTTP/1.1" 200 6815 7
0:0:0:0:0:0:0:1 - - [28/Jan/2019:18:41:24 +0800] "GET /static/css/plugins/datapicker/bootstrap-datetimepicker.min.css HTTP/1.1" 200 7771 11
0:0:0:0:0:0:0:1 - - [28/Jan/2019:18:41:24 +0800] "GET /static/js/inspinia.js HTTP/1.1" 200 8107 3
0:0:0:0:0:0:0:1 - - [28/Jan/2019:18:41:24 +0800] "GET /static/js/jquery-2.1.1.js HTTP/1.1" 200 84247 16
0:0:0:0:0:0:0:1 - - [28/Jan/2019:18:41:24 +0800] "GET /static/js/jquery-migrate-1.1.0.min.js HTTP/1.1" 200 6968 4
0:0:0:0:0:0:0:1 - - [28/Jan/2019:18:41:24 +0800] "GET /static/js/plugins/pace/pace.min.js HTTP/1.1" 200 12364 6
0:0:0:0:0:0:0:1 - - [28/Jan/2019:18:41:24 +0800] "GET /static/js/plugins/slimscroll/jquery.slimscroll.min.js HTTP/1.1" 200 4682 8
0:0:0:0:0:0:0:1 - - [28/Jan/2019:18:41:24 +0800] "GET /static/js/plugins/dataTables/dataTables.bootstrap.js HTTP/1.1" 200 9614 3
0:0:0:0:0:0:0:1 - - [28/Jan/2019:18:41:24 +0800] "GET /static/js/plugins/dataTables/dataTables.responsive.js HTTP/1.1" 200 32864 12
0:0:0:0:0:0:0:1 - - [28/Jan/2019:18:41:24 +0800] "GET /static/ckeditor/ckeditor.js HTTP/1.1" 200 567997 20
0:0:0:0:0:0:0:1 - - [28/Jan/2019:18:41:24 +0800] "GET /static/js/plugins/dataTables/dataTables.tableTools.min.js HTTP/1.1" 200 31626 10
0:0:0:0:0:0:0:1 - - [28/Jan/2019:18:41:24 +0800] "GET /static/js/bootstrap-switch.js HTTP/1.1" 200 26858 37
0:0:0:0:0:0:0:1 - - [28/Jan/2019:18:41:24 +0800] "GET /static/js/plugins/datapicker/bootstrap-datetimepicker.min.js HTTP/1.1" 200 48881 4
0:0:0:0:0:0:0:1 - - [28/Jan/2019:18:41:24 +0800] "GET /static/js/plugins/datapicker/Moment.js HTTP/1.1" 200 387799 12
0:0:0:0:0:0:0:1 - - [28/Jan/2019:18:41:24 +0800] "GET /static/js/layer/layer.js HTTP/1.1" 200 25196 4
0:0:0:0:0:0:0:1 - - [28/Jan/2019:18:41:24 +0800] "GET /static/js/plugins/jsTree/jstree.min.js HTTP/1.1" 200 118089 10
0:0:0:0:0:0:0:1 - - [28/Jan/2019:18:41:24 +0800] "GET /static/js/sha1.js HTTP/1.1" 200 5752 5
0:0:0:0:0:0:0:1 - - [28/Jan/2019:18:41:24 +0800] "GET /static/js/plugins/dataTables/jquery.dataTables.js HTTP/1.1" 200 434957 39
0:0:0:0:0:0:0:1 - - [28/Jan/2019:18:41:24 +0800] "GET /static/images/page/baidumarker.png HTTP/1.1" 200 2877 2
0:0:0:0:0:0:0:1 - - [28/Jan/2019:18:41:24 +0800] "GET /static/js/plugins/chosen/chosen.jquery.js HTTP/1.1" 200 51376 6
0:0:0:0:0:0:0:1 - - [28/Jan/2019:18:41:24 +0800] "GET /static/js/jquery.ajaxfileupload.js HTTP/1.1" 200 5785 15
0:0:0:0:0:0:0:1 - - [28/Jan/2019:18:41:24 +0800] "GET /static/js/jquery-ui-1.10.4.min.js HTTP/1.1" 200 228539 56
0:0:0:0:0:0:0:1 - - [28/Jan/2019:18:41:24 +0800] "GET /static/js/plugins/blueimp/jquery.blueimp-gallery.min.js HTTP/1.1" 200 31564 18
0:0:0:0:0:0:0:1 - - [28/Jan/2019:18:41:24 +0800] "GET /static/js/layer/skin/layer.css HTTP/1.1" 200 14048 4
0:0:0:0:0:0:0:1 - - [28/Jan/2019:18:41:24 +0800] "GET /static/css/patterns/header-profile.png HTTP/1.1" 200 5877 4
0:0:0:0:0:0:0:1 - - [28/Jan/2019:18:41:24 +0800] "GET /static/font-awesome/fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 200 56780 4
0:0:0:0:0:0:0:1 - - [28/Jan/2019:18:41:24 +0800] "POST /manage/account/getUserAccessList HTTP/1.1" 200 8121 7
0:0:0:0:0:0:0:1 - - [28/Jan/2019:18:41:24 +0800] "GET /app/system/getCityList?level=1 HTTP/1.1" 200 371 28
0:0:0:0:0:0:0:1 - - [28/Jan/2019:18:41:24 +0800] "GET /app/system/getCityList?level=2&parentId=1 HTTP/1.1" 200 370 13
